"Term_ID","Term_Label","Parent_ID","Parent_Label","geneclass"
"ARO:3004467","ciprofloxacin phosphotransferase","ARO:3004467","ciprofloxacin phosphotransferase","crpP"
"ARO:3000507","rifampin-resistant RNA polymerase-binding protein","ARO:3000507","rifampin-resistant RNA polymerase-binding protein","rifampin Rbp"
"ARO:3000249","chloramphenicol phosphotransferase","ARO:3000249","chloramphenicol phosphotransferase","cpt"
"ARO:3004238","sulfonamide resistant sul","ARO:3004238","sulfonamide resistant sul","sul"
"ARO:3000225","ANT(6)","ARO:3000225","ANT(6)","ant"
"ARO:3000333","macrolide phosphotransferase (MPH)","ARO:3000333","macrolide phosphotransferase (MPH)","mph"
"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3004261","viomycin phosphotransferase","ARO:3004261","viomycin phosphotransferase","vph"
"ARO:3007419","aminoglycoside bifunctional resistance protein","ARO:3007419","aminoglycoside bifunctional resistance protein","bifunctional aminoglycoside"
"ARO:3000076","class C beta-lactamase","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3000869","streptothricin acetyltransferase (SAT)","ARO:3000869","streptothricin acetyltransferase (SAT)","sat"
"ARO:3002959","vanY gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002972","vanT gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3003724","vanW gene in vanI cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002948","vanH gene in vanO cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3003069","vanXY gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002909","vanG","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3000191","tet(Q)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3002955","vanY gene in vanA cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002956","vanY gene in vanB cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002961","vanY gene in vanM cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002971","vanT gene in vanE cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3007104","nimA","ARO:3007103","nitroimidazole reductase","nim"
"ARO:3007112","nimJ","ARO:3007103","nitroimidazole reductase","nim"
"ARO:3002958","vanY gene in vanF cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002964","vanW gene in vanB cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3000518","CRP","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump"
"ARO:3002965","vanW gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002945","vanH gene in vanF cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002947","vanH gene in vanM cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3007107","nimE","ARO:3007103","nitroimidazole reductase","nim"
"ARO:3000196","tet(32)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3000197","tet(36)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3007109","nimG","ARO:3007103","nitroimidazole reductase","nim"
"ARO:3004470","poxtA","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"ARO:3000556","tet(44)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3000195","tetB(P)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3005069","rsmA","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump"
"ARO:3000190","tet(O)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3004655","nimB","ARO:3007103","nitroimidazole reductase","nim"
"ARO:3002639","APH(3'')-Ib","ARO:3000127","APH(3'')","aph"
"ARO:3002943","vanH gene in vanB cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3002528","AAC(3)-Ia","ARO:3000322","AAC(3)","aac"
"ARO:3000819","nalD","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump"
"ARO:3004059","Type A NfxB","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump"
"ARO:3002606","aadA6","ARO:3004275","ANT(3'')","ant"
"ARO:3006211","VEB-14","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3003801","bcr-1","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3002604","aadA4","ARO:3004275","ANT(3'')","ant"
"ARO:3002891","Streptomyces rimosus otr(A)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ARO:3004107","Pseudomonas aeruginosa soxR","ARO:0000031","antibiotic resistant gene variant or mutant","variant or mutant"
"ARO:3002536","AAC(3)-IIIa","ARO:3000322","AAC(3)","aac"
"ARO:3001797","OXA-46","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001811","OXA-129","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3004675","aphA15","ARO:3000126","APH(3')","aph"
"ARO:3002585","AAC(6')-31","ARO:3000345","AAC(6')","aac"
"ARO:3004786","FIM-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3002595","AAC(6')-IIb","ARO:3000345","AAC(6')","aac"
"ARO:3002594","AAC(6')-IIa","ARO:3000345","AAC(6')","aac"
"ARO:3005150","PAC-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002206","IMP-15","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3003709","MexZ","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump"
"ARO:3002274","VIM-4","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3002578","AAC(6')-Ib7","ARO:3000345","AAC(6')","aac"
"ARO:3000149","FosA","ARO:3000342","fosfomycin inactivation enzyme","fos"
"ARO:3001796","OXA-50","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3007101","BcIII","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
