"sample_id","habitat","insertsHQ"
"SAMN06172431","dog gut",64282312
"SAMN06172490","dog gut",89767877
"SAMN06172413","dog gut",60419077
"SAMN06172520","dog gut",47996050
"SAMN06172514","dog gut",50811834
"SAMN06172516","dog gut",50836179
"SAMN06172456","dog gut",44048584
"SAMN06172460","dog gut",41389495
"SAMEA103957796","dog gut",45982137
"SAMN06172439","dog gut",58095334
"SAMN06172405","dog gut",52962119
"SAMN06172504","dog gut",41070527
"SAMN06172441","dog gut",43515128
"SAMN06172462","dog gut",44246534
"SAMN06172419","dog gut",46029095
"SAMN06172401","dog gut",40301504
"SAMN06172447","dog gut",60487512
"SAMN06172502","dog gut",42124292
"SAMN06172409","dog gut",68557493
"SAMN06172478","dog gut",44546775
"SAMN06172500","dog gut",47942860
"SAMN06172411","dog gut",49522945
"SAMN06172407","dog gut",44484416
"SAMN06172482","dog gut",52994415
"SAMN06172425","dog gut",53429198
"SAMN06172449","dog gut",66619684
"SAMN06172403","dog gut",47835577
"SAMN06172454","dog gut",62250928
"SAMN06172453","dog gut",42973195
"SAMN06172480","dog gut",63811515
"SAMN06172423","dog gut",46522611
"SAMN06172429","dog gut",34103577
"SAMN06172512","dog gut",47591203
"SAMN06172427","dog gut",48251106
"SAMN06172421","dog gut",52714181
"SAMN06172468","dog gut",47660731
"SAMN06172498","dog gut",78043071
"SAMN06172415","dog gut",47922191
"SAMN06172506","dog gut",74509690
"SAMN06172470","dog gut",49790671
"SAMN06172474","dog gut",43930130
"SAMN06172518","dog gut",52891109
"SAMN06172496","dog gut",44872319
"SAMN06172484","dog gut",34723895
"SAMN06172435","dog gut",55803336
"SAMN06172522","dog gut",63582960
"SAMN06172488","dog gut",64473938
"SAMN06172486","dog gut",35500953
"SAMN06172433","dog gut",40179656
"SAMN06172508","dog gut",51916248
"SAMN06172464","dog gut",42965971
"SAMN06172458","dog gut",41553979
"SAMN06172443","dog gut",34543304
"SAMEA103957793","dog gut",86865160
"SAMN06172510","dog gut",61053660
"SAMN06172445","dog gut",45958342
"SAMN06172451","dog gut",43624329
"SAMN06172417","dog gut",53078651
"SAMN06172524","dog gut",49902233
"SAMN06172472","dog gut",49072318
"SAMN06172492","dog gut",53833512
"SAMN06172466","dog gut",39854421
"SAMN06172494","dog gut",39490019
"SAMN06172476","dog gut",33018776
"SAMN06172437","dog gut",57765132
"SAMN06172404","dog gut",90043974
"SAMN06172477","dog gut",105182445
"SAMN06172452","dog gut",81592235
"SAMN06172414","dog gut",75650328
"SAMN06172487","dog gut",113756773
"SAMN06172509","dog gut",69867435
"SAMN06172406","dog gut",77212562
"SAMN06172430","dog gut",95353033
"SAMN06172519","dog gut",58190680
"SAMN06172440","dog gut",66606098
"SAMN06172499","dog gut",72620178
"SAMN06172479","dog gut",101684697
"SAMN06172505","dog gut",71008215
"SAMN06172485","dog gut",55887969
"SAMN06172450","dog gut",66674485
"SAMN06172426","dog gut",50135913
"SAMN06172513","dog gut",57127335
"SAMN06172461","dog gut",88823670
"SAMN06172438","dog gut",40989901
"SAMN06172410","dog gut",54151744
"SAMN06172422","dog gut",72949956
"SAMN06172489","dog gut",52416270
"SAMN06172469","dog gut",45056143
"SAMN06172432","dog gut",51555051
"SAMN06172416","dog gut",63191405
"SAMEA103957794","dog gut",65890330
"SAMN06172434","dog gut",45979674
"SAMN06172515","dog gut",55634032
"SAMN06172418","dog gut",44903613
"SAMN06172408","dog gut",69296295
"SAMN06172497","dog gut",71534418
"SAMN06172481","dog gut",55927153
"SAMN06172446","dog gut",52555725
"SAMN06172517","dog gut",61941349
"SAMN06172503","dog gut",70912153
"SAMN06172483","dog gut",51194793
"SAMN06172463","dog gut",75041055
"SAMN06172471","dog gut",64062930
"SAMN06172521","dog gut",47811264
"SAMN06172511","dog gut",65960435
"SAMN06172495","dog gut",44277433
"SAMN06172473","dog gut",56046929
"SAMN06172507","dog gut",39940167
"SAMN06172455","dog gut",53999865
"SAMN06172448","dog gut",53926891
"SAMN06172491","dog gut",53466817
"SAMN06172428","dog gut",56192608
"SAMN06172475","dog gut",54223849
"SAMN06172400","dog gut",46823142
"SAMN06172424","dog gut",38011104
"SAMN06172501","dog gut",46408222
"SAMN06172420","dog gut",45440756
"SAMEA103957795","dog gut",42428253
"SAMN06172457","dog gut",49838603
"SAMN06172444","dog gut",38791124
"SAMN06172523","dog gut",58457845
"SAMN06172442","dog gut",45146912
"SAMN06172459","dog gut",52592259
"SAMN06172402","dog gut",40178379
"SAMN06172436","dog gut",43533576
"SAMN06172412","dog gut",50851974
"SAMN06172465","dog gut",41853534
"SAMN06172467","dog gut",42910117
"SAMN06172493","dog gut",41097948
"SAMEA1906415","human gut",7093178
"SAMEA1906416","human gut",8848750
"SAMEA1906417","human gut",9234914
"SAMEA1906418","human gut",6916016
"SAMEA1906419","human gut",11549999
"SAMEA1906420","human gut",7272095
"SAMEA1906421","human gut",6032126
"SAMEA1906422","human gut",13489196
"SAMEA1906423","human gut",9221618
"SAMEA1906424","human gut",6676465
"SAMEA1906425","human gut",16614401
"SAMEA1906426","human gut",12706369
"SAMEA1906427","human gut",15195979
"SAMEA1906428","human gut",3053554
"SAMEA1906429","human gut",8842240
"SAMEA1906430","human gut",7462537
"SAMEA1906431","human gut",10921313
"SAMEA1906432","human gut",6555289
"SAMEA1906433","human gut",4036191
"SAMEA1906434","human gut",10736199
"SAMEA1906435","human gut",8377757
"SAMEA1906436","human gut",11740980
"SAMEA1906437","human gut",11400842
"SAMEA1906438","human gut",7595468
"SAMEA1906439","human gut",3260800
"SAMEA1906440","human gut",11823667
"SAMEA1906441","human gut",9066442
"SAMEA1906442","human gut",15273220
"SAMEA1906443","human gut",14034149
"SAMEA1906444","human gut",14105775
"SAMEA1906445","human gut",2274144
"SAMEA1906446","human gut",8040456
"SAMEA1906447","human gut",7064204
"SAMEA1906448","human gut",8921563
"SAMEA1906449","human gut",10601066
"SAMEA1906450","human gut",19283075
"SAMEA1906451","human gut",13117456
"SAMEA1906452","human gut",10942448
"SAMEA1906453","human gut",2358476
"SAMEA1906455","human gut",14465459
"SAMEA1906456","human gut",13659349
"SAMEA1906457","human gut",8530642
"SAMEA1906458","human gut",7444175
"SAMEA1906459","human gut",12227519
"SAMEA1906460","human gut",9416717
"SAMEA1906462","human gut",9928793
"SAMEA1906463","human gut",12065835
"SAMEA1906464","human gut",5192986
"SAMEA1906465","human gut",8090745
"SAMEA1906466","human gut",9094144
"SAMEA1906468","human gut",8635315
"SAMEA1906469","human gut",12794030
"SAMEA1906470","human gut",9802259
"SAMEA1906472","human gut",9047074
"SAMEA1906474","human gut",10689805
"SAMEA1906477","human gut",10313405
"SAMEA1906479","human gut",16748473
"SAMEA1906480","human gut",14530580
"SAMEA1906481","human gut",11831056
"SAMEA1906482","human gut",13830182
"SAMEA1906484","human gut",9580504
"SAMEA1906485","human gut",9789607
"SAMEA1906486","human gut",8977994
"SAMEA1906487","human gut",7741567
"SAMEA1906489","human gut",7998385
"SAMEA1906490","human gut",9375724
"SAMEA1906491","human gut",6333304
"SAMEA1906493","human gut",10555470
"SAMEA1906494","human gut",2900003
"SAMEA1906495","human gut",13215489
"SAMEA1906496","human gut",10404176
"SAMEA1906497","human gut",10902046
"SAMEA1906498","human gut",13915846
"SAMEA1906501","human gut",8283677
"SAMEA1906503","human gut",10018270
"SAMEA1906505","human gut",9965034
"SAMEA1906507","human gut",3090165
"SAMEA1906510","human gut",10220571
"SAMEA1906512","human gut",14215581
"SAMEA1906514","human gut",13763784
"SAMEA1906516","human gut",10523241
"SAMEA1906518","human gut",6628556
"SAMEA1906520","human gut",12390176
"SAMEA1906522","human gut",11656037
"SAMEA1906523","human gut",13996687
"SAMEA1906524","human gut",13001800
"SAMEA1906525","human gut",9118408
"SAMEA1906526","human gut",11798080
"SAMEA1906527","human gut",45452470
"SAMEA1906528","human gut",8324081
"SAMEA1906529","human gut",21464079
"SAMEA1906530","human gut",6415434
"SAMEA1906531","human gut",6903651
"SAMEA1906532","human gut",9327896
"SAMEA1906533","human gut",9886621
"SAMEA1906534","human gut",15031361
"SAMEA1906535","human gut",27670526
"SAMEA1906536","human gut",11123152
"SAMEA1906537","human gut",10744024
"SAMEA1906538","human gut",12378539
"SAMEA1906539","human gut",10502348
"SAMEA1906540","human gut",16927318
"SAMEA1906541","human gut",9607329
"SAMEA1906542","human gut",51714318
"SAMEA1906543","human gut",11362687
"SAMEA1906544","human gut",6162761
"SAMEA1906545","human gut",10307888
"SAMEA1906546","human gut",10401690
"SAMEA1906547","human gut",20042951
"SAMEA1906548","human gut",14804208
"SAMEA1906549","human gut",2448736
"SAMEA1906550","human gut",9976028
"SAMEA1906551","human gut",7586170
"SAMEA1906552","human gut",13608847
"SAMEA1906553","human gut",17500503
"SAMEA1906554","human gut",24663556
"SAMEA1906555","human gut",7602274
"SAMEA1906556","human gut",5987815
"SAMEA1906557","human gut",11512068
"SAMEA1906558","human gut",9591445
"SAMEA1906559","human gut",16128821
"SAMEA1906560","human gut",10807538
"SAMEA1906561","human gut",7770637
"SAMEA1906562","human gut",2344886
"SAMEA1906563","human gut",13663474
"SAMEA1906564","human gut",4726072
"SAMEA1906565","human gut",7616050
"SAMEA1906566","human gut",3574012
"SAMEA1906567","human gut",9886672
"SAMEA1906568","human gut",20865201
"SAMEA1906569","human gut",10233847
"SAMEA1906570","human gut",8220117
"SAMEA1906571","human gut",10006722
"SAMEA1906572","human gut",5681965
"SAMEA1906573","human gut",7392925
"SAMEA1906574","human gut",14658828
"SAMEA1906575","human gut",9124342
"SAMEA1906576","human gut",8370834
"SAMEA1906577","human gut",10718718
"SAMEA1906578","human gut",9511142
"SAMEA1906579","human gut",10747158
"SAMEA1906580","human gut",7040224
"SAMEA1906581","human gut",10719648
"SAMEA1906582","human gut",10559282
"SAMEA1906583","human gut",13535222
"SAMEA1963786","human gut",28815717
"SAMEA1964270","human gut",341856
"SAMEA1964348","human gut",18864794
"SAMEA1964687","human gut",28475507
"SAMEA1964695","human gut",8438096
"SAMEA1964852","human gut",11935006
"SAMEA1964895","human gut",25723755
"SAMEA1964914","human gut",17792054
"SAMEA1965033","human gut",312463
"SAMEA1965112","human gut",12710048
"SAMEA1965149","human gut",32545622
"SAMEA1965191","human gut",42074403
"SAMEA1965384","human gut",5896279
"SAMEA1965767","human gut",10418400
"SAMEA1965852","human gut",818786
"SAMEA1965858","human gut",40570674
"SAMEA1965906","human gut",22667574
"SAMEA1966253","human gut",35840383
"SAMEA1966821","human gut",6673106
"SAMEA1967055","human gut",32182398
"SAMEA1967319","human gut",27198724
"SAMEA1967891","human gut",12695144
"SAMEA1968035","human gut",21308922
"SAMEA1968151","human gut",6413559
"SAMEA1968361","human gut",25114548
"SAMEA1969126","human gut",14302854
"SAMEA1969178","human gut",10943468
"SAMEA1969236","cat gut",54953528
"SAMEA1969296","human gut",7685793
"SAMEA1969417","human gut",28420719
"SAMEA1970465","human gut",9726505
"SAMEA1970858","human gut",31288425
"SAMEA1970897","human gut",5157210
"SAMEA1971210","human gut",30476210
"SAMEA1971886","human gut",23645191
"SAMEA1972002","human gut",101497
"SAMEA1972159","human gut",9618273
"SAMEA1972188","human gut",39830496
"SAMEA1972229","human gut",29421421
"SAMEA1972381","human gut",29143418
"SAMEA1972440","human gut",26407347
"SAMEA1972463","human gut",20145754
"SAMEA1973207","human gut",12016770
"SAMEA2041923","human gut",26375226
"SAMEA2041924","human gut",22616131
"SAMEA2041925","human gut",24650415
"SAMEA2041926","human gut",13725655
"SAMEA2041927","human gut",27463403
"SAMEA2041928","human gut",23091098
"SAMEA2041930","human gut",23830891
"SAMEA2041931","human gut",48372482
"SAMEA2041932","human gut",24709191
"SAMEA2041933","human gut",24398943
"SAMEA2041934","human gut",22892421
"SAMEA2041935","human gut",25537159
"SAMEA2041936","human gut",23668753
"SAMEA2041937","human gut",23466193
"SAMEA2041938","human gut",23042666
"SAMEA2041939","human gut",25061630
"SAMEA2042000","human gut",24038978
"SAMEA2042001","human gut",22598127
"SAMEA2042002","human gut",23739654
"SAMEA2042003","human gut",22544421
"SAMEA2042004","human gut",23308732
"SAMEA2042005","human gut",24090127
"SAMEA2042006","human gut",23865807
"SAMEA2042007","human gut",22165357
"SAMEA2042009","human gut",22425935
"SAMEA2042010","human gut",25422225
"SAMEA2042011","human gut",26145797
"SAMEA2042014","human gut",738864
"SAMEA2042087","human gut",321015
"SAMEA2042088","human gut",121482
"SAMEA2042090","human gut",62620
"SAMEA2042091","human gut",79206
"SAMEA2042092","human gut",143342
"SAMEA2042093","human gut",139055
"SAMEA2042096","human gut",104101
"SAMEA2042097","human gut",942
"SAMEA2042098","human gut",22454
"SAMEA2042099","human gut",2028
"SAMEA2042100","human gut",2005
"SAMEA2042101","human gut",501126
"SAMEA2042102","human gut",166136
"SAMEA2042103","human gut",40982462
"SAMEA2042104","human gut",24831461
"SAMEA2042105","human gut",23833718
"SAMEA2042106","human gut",29665726
"SAMEA2042107","human gut",28327331
"SAMEA2042108","human gut",23559762
"SAMEA2042109","human gut",27261523
"SAMEA2042110","human gut",11494
"SAMEA2042111","human gut",40808111
"SAMEA2042112","human gut",26883554
"SAMEA2042113","human gut",24379274
"SAMEA2042114","human gut",27978574
"SAMEA2042115","human gut",22923503
"SAMEA2042191","human gut",1072744
"SAMEA2042192","human gut",222763
"SAMEA2042193","human gut",3118
"SAMEA2042194","human gut",30888
"SAMEA2042195","human gut",119911
"SAMEA2042196","human gut",51223
"SAMEA2042197","human gut",6308
"SAMEA2042198","human gut",2428247
"SAMEA2042199","human gut",2647721
"SAMEA2042200","human gut",3341571
"SAMEA2042201","human gut",89118
"SAMEA2042202","human gut",2576056
"SAMEA2042203","human gut",3409236
"SAMEA2042204","human gut",260974
"SAMEA2042205","human gut",366128
"SAMEA2042206","human gut",153657
"SAMEA2042215","human gut",23985186
"SAMEA2042216","human gut",46691749
"SAMEA2042217","human gut",23372008
"SAMEA2042218","human gut",31116904
"SAMEA2042219","human gut",24845435
"SAMEA2042220","human gut",23713
"SAMEA2042221","human gut",24398764
"SAMEA2042222","human gut",23831248
"SAMEA2042223","human gut",30738890
"SAMEA2042224","human gut",31062984
"SAMEA2042225","human gut",27869475
"SAMEA2042226","human gut",31759548
"SAMEA2042281","human gut",4023332
"SAMEA2042282","human gut",3765269
"SAMEA2042285","human gut",7798264
"SAMEA2042287","human gut",17941
"SAMEA2042288","human gut",185665
"SAMEA2042289","human gut",15986
"SAMEA2042290","human gut",133715
"SAMEA2042292","human gut",305326
"SAMEA2042293","human gut",22275
"SAMEA2042294","human gut",239709
"SAMEA2042295","human gut",17671
"SAMEA2042296","human gut",64703
"SAMEA2042297","human gut",24221
"SAMEA2042298","human gut",45348
"SAMEA2042299","human gut",49688
"SAMEA2042300","human gut",49363
"SAMEA2042301","human gut",759526
"SAMEA2042302","human gut",151656
"SAMEA2042303","human gut",180716
"SAMEA2042304","human gut",27701966
"SAMEA2042360","human gut",3922611
"SAMEA2042362","human gut",4393131
"SAMEA2042363","human gut",10639545
"SAMEA2042365","human gut",4935802
"SAMEA2042367","human gut",4947329
"SAMEA2042372","human gut",270601
"SAMEA2042373","human gut",3676759
"SAMEA2042376","human gut",84464
"SAMEA2042378","human gut",42272
"SAMEA2042379","human gut",106797
"SAMEA2042380","human gut",152228
"SAMEA2042381","human gut",3792099
"SAMEA2042382","human gut",186428
"SAMEA2042383","human gut",3913904
"SAMEA2042384","human gut",3762218
"SAMEA2042385","human gut",94600
"SAMEA2042386","human gut",193240
"SAMEA2042387","human gut",23973
"SAMEA2042388","human gut",10129
"SAMEA2042389","human gut",19055
"SAMEA2042391","human gut",31081
"SAMEA2042392","human gut",2031284
"SAMEA2042393","human gut",15059135
"SAMEA2042394","human gut",51114
"SAMEA2042395","human gut",37770970
"SAMEA2042396","human gut",53466935
"SAMEA2042397","human gut",13838
"SAMEA2042398","human gut",24676016
"SAMEA2042399","human gut",27879105
"SAMEA2042400","human gut",566
"SAMEA2042401","human gut",34959
"SAMEA2042402","human gut",25212904
"SAMEA2042403","human gut",52908
"SAMEA2042404","human gut",19589194
"SAMEA2042405","human gut",23259895
"SAMEA2042406","human gut",39578833
"SAMEA2042407","human gut",15600615
"SAMEA2042408","human gut",27425728
"SAMEA2042425","human gut",13101342
"SAMEA2042426","human gut",10886773
"SAMEA2042427","human gut",14131305
"SAMEA2042428","human gut",5647439
"SAMEA2042429","human gut",7570677
"SAMEA2042430","human gut",6051774
"SAMEA2042431","human gut",8223746
"SAMEA2042433","human gut",7249995
"SAMEA2042434","human gut",6685219
"SAMEA2042435","human gut",5732926
"SAMEA2042436","human gut",5758438
"SAMEA2042437","human gut",6691430
"SAMEA2042438","human gut",6813270
"SAMEA2042439","human gut",140523
