"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1","ARO:3004467","ciprofloxacin phosphotransferase","ARO:3004467","ciprofloxacin phosphotransferase","crpP","crpP"
"2","ARO:3000507","rifampin-resistant RNA polymerase-binding protein","ARO:3000507","rifampin-resistant RNA polymerase-binding protein","rifampin Rbp","rifampin Rbp"
"3","ARO:3000249","chloramphenicol phosphotransferase","ARO:3000249","chloramphenicol phosphotransferase","cpt","cpt"
"4","ARO:3004238","sulfonamide resistant sul","ARO:3004238","sulfonamide resistant sul","sul","sul"
"5","ARO:3000225","ANT(6)","ARO:3000225","ANT(6)","ant","ant"
"6","ARO:3000333","macrolide phosphotransferase (MPH)","ARO:3000333","macrolide phosphotransferase (MPH)","mph","mph"
"7","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump","efflux"
"8","ARO:3004261","viomycin phosphotransferase","ARO:3004261","viomycin phosphotransferase","vph","vph"
"9","ARO:3007419","aminoglycoside bifunctional resistance protein","ARO:3007419","aminoglycoside bifunctional resistance protein","bifunctional aminoglycoside","bifunctional aminoglycoside"
"10","ARO:3000076","class C beta-lactamase","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"11","ARO:3000869","streptothricin acetyltransferase (SAT)","ARO:3000869","streptothricin acetyltransferase (SAT)","sat","sat"
"12","ARO:3002959","vanY gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"13","ARO:3002972","vanT gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"14","ARO:3003724","vanW gene in vanI cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"15","ARO:3002948","vanH gene in vanO cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"16","ARO:3003069","vanXY gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"17","ARO:3002909","vanG","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"18","ARO:3000191","tet(Q)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"19","ARO:3002955","vanY gene in vanA cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"20","ARO:3002956","vanY gene in vanB cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"21","ARO:3002961","vanY gene in vanM cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"22","ARO:3002971","vanT gene in vanE cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"23","ARO:3007104","nimA","ARO:3007103","nitroimidazole reductase","nim","nim"
"24","ARO:3007112","nimJ","ARO:3007103","nitroimidazole reductase","nim","nim"
"25","ARO:3002958","vanY gene in vanF cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"26","ARO:3002964","vanW gene in vanB cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"27","ARO:3000518","CRP","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump","efflux"
"28","ARO:3002965","vanW gene in vanG cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"29","ARO:3002945","vanH gene in vanF cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"30","ARO:3002947","vanH gene in vanM cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"31","ARO:3007107","nimE","ARO:3007103","nitroimidazole reductase","nim","nim"
"32","ARO:3000196","tet(32)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"33","ARO:3000197","tet(36)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"34","ARO:3007109","nimG","ARO:3007103","nitroimidazole reductase","nim","nim"
"35","ARO:3004470","poxtA","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"36","ARO:3000556","tet(44)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"37","ARO:3000195","tetB(P)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"38","ARO:3005069","rsmA","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump","efflux"
"39","ARO:3000190","tet(O)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"40","ARO:3004655","nimB","ARO:3007103","nitroimidazole reductase","nim","nim"
"41","ARO:3002639","APH(3'')-Ib","ARO:3000127","APH(3'')","aph","aph"
"42","ARO:3002943","vanH gene in vanB cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van","van"
"43","ARO:3002528","AAC(3)-Ia","ARO:3000322","AAC(3)","aac","aac"
"44","ARO:3000819","nalD","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump","efflux"
"45","ARO:3004059","Type A NfxB","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump","efflux"
"46","ARO:3002606","aadA6","ARO:3004275","ANT(3'')","ant","ant"
"47","ARO:3006211","VEB-14","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"48","ARO:3003801","bcr-1","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump","efflux"
"49","ARO:3002604","aadA4","ARO:3004275","ANT(3'')","ant","ant"
"50","ARO:3002891","Streptomyces rimosus otr(A)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"51","ARO:3004107","Pseudomonas aeruginosa soxR","ARO:0000031","antibiotic resistant gene variant or mutant","variant or mutant","variant or mutant"
"52","ARO:3002536","AAC(3)-IIIa","ARO:3000322","AAC(3)","aac","aac"
"53","ARO:3001797","OXA-46","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"54","ARO:3001811","OXA-129","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"55","ARO:3004675","aphA15","ARO:3000126","APH(3')","aph","aph"
"56","ARO:3002585","AAC(6')-31","ARO:3000345","AAC(6')","aac","aac"
"57","ARO:3004786","FIM-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"58","ARO:3002595","AAC(6')-IIb","ARO:3000345","AAC(6')","aac","aac"
"59","ARO:3002594","AAC(6')-IIa","ARO:3000345","AAC(6')","aac","aac"
"60","ARO:3005150","PAC-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"61","ARO:3002206","IMP-15","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"62","ARO:3003709","MexZ","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump","efflux"
"63","ARO:3002274","VIM-4","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"64","ARO:3002578","AAC(6')-Ib7","ARO:3000345","AAC(6')","aac","aac"
"65","ARO:3000149","FosA","ARO:3000342","fosfomycin inactivation enzyme","fos","fos"
"66","ARO:3001796","OXA-50","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"67","ARO:3007101","BcIII","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"68","ARO:3002209","IMP-18","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"69","ARO:3007372","FosBx1","ARO:3000342","fosfomycin inactivation enzyme","fos","fos"
"70","ARO:3000606","FEZ-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"71","ARO:3005008","TxR","ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump","efflux"
"72","ARO:3000841","CGB-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"73","ARO:3009041","RSC1-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"74","ARO:3004574","Acinetobacter baumannii AbaQ","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump","efflux"
"75","ARO:3005053","ArnT","ARO:3003580","gene altering cell wall charge","cell wall charge","cell wall charge"
"76","ARO:3007127","Streptomyces lividans otr(A)","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG","tet RPG"
"77","ARO:3002541","AAC(3)-VIIa","ARO:3000322","AAC(3)","aac","aac"
"78","ARO:3007371","FosA8","ARO:3000342","fosfomycin inactivation enzyme","fos","fos"
"79","ARO:3000245","RbpA","ARO:3000507","rifampin-resistant RNA polymerase-binding protein","rifampin Rbp","rifampin Rbp"
"80","ARO:3005085","AAC(3)-IIg","ARO:3000322","AAC(3)","aac","aac"
"81","ARO:3003210","FosA4","ARO:3000342","fosfomycin inactivation enzyme","fos","fos"
"82","ARO:3007208","HelR","ARO:3000507","rifampin-resistant RNA polymerase-binding protein","rifampin Rbp","rifampin Rbp"
"83","ARO:3007209","Streptomyces venezuelae rox","ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme","RIF-inact. enz."
"84","ARO:3004573","Acinetobacter baumannii AbaF","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump","efflux"
