sample_id	original_name	habitat	GCfrac	basepairsHQ	basepairsRaw	insertsHQ	insertsRaw	nr_orfs	latitude	longitude	income_group	country
SAMN06172431	ExDog1	dog gut	0.4428864213121742	14804779126	16880298000	64282312	67521192	392564	38.627	-90.1994	High income	United States of America
SAMN06172490	ExDog10	dog gut	0.4459687977920666	20792239794	23601297750	89767877	94405191	328634	38.627	-90.1994	High income	United States of America
SAMN06172413	ExDog11	dog gut	0.4364667557309914	14164438070	15697383000	60419077	62789532	331906	38.627	-90.1994	High income	United States of America
SAMN06172520	ExDog12	dog gut	0.4355914255393332	11177206082	12525372250	47996050	50101489	420033	38.627	-90.1994	High income	United States of America
SAMN06172514	ExDog13	dog gut	0.45645787117853204	11773444835	13352132750	50811834	53408531	395920	38.627	-90.1994	High income	United States of America
SAMN06172516	ExDog14	dog gut	0.4449976964777562	11959851597	13146583000	50836179	52586332	345905	38.627	-90.1994	High income	United States of America
SAMN06172456	ExDog15	dog gut	0.4644864632989058	10237773288	11543355500	44048584	46173422	370497	38.627	-90.1994	High income	United States of America
SAMN06172460	ExDog16	dog gut	0.44250562025786	9623453045	10830723000	41389495	43322892	347578	38.627	-90.1994	High income	United States of America
SAMEA103957796	ExDog17	dog gut	0.4353638375091416	10691253976	12033608000	45982137	48134432	311198	38.627	-90.1994	High income	United States of America
SAMN06172439	ExDog18	dog gut	0.4282873741478318	13492278332	15165910250	58095334	60663641	345056	38.627	-90.1994	High income	United States of America
SAMN06172405	ExDog19	dog gut	0.4015224726674768	12352834592	13753224250	52962119	55012897	340579	38.627	-90.1994	High income	United States of America
SAMN06172504	ExDog2	dog gut	0.4207707472922322	9604270448	10667447750	41070527	42669791	208396	38.627	-90.1994	High income	United States of America
SAMN06172441	ExDog20	dog gut	0.4059160280107651	10163742882	11281151750	43515128	45124607	308048	38.627	-90.1994	High income	United States of America
SAMN06172462	ExDog21	dog gut	0.4288191170923544	10344059112	11488636000	44246534	45954544	306696	38.627	-90.1994	High income	United States of America
SAMN06172419	ExDog22	dog gut	0.4492652705069783	10711636847	11990593000	46029095	47962372	350203	38.627	-90.1994	High income	United States of America
SAMN06172401	ExDog23	dog gut	0.4630706472223349	9312892562	10554193000	40301504	42216772	378448	38.627	-90.1994	High income	United States of America
SAMN06172447	ExDog24	dog gut	0.4305596922146784	14159143830	15688787250	60487512	62755149	416560	38.627	-90.1994	High income	United States of America
SAMN06172502	ExDog25	dog gut	0.4081440899139249	9816563284	10935187000	42124292	43740748	248340	38.627	-90.1994	High income	United States of America
SAMN06172409	ExDog26	dog gut	0.4157218364702856	15915519048	17820021000	68557493	71280084	273533	38.627	-90.1994	High income	United States of America
SAMN06172478	ExDog27	dog gut	0.4437942621754339	10275494454	11579451250	44546775	46317805	352991	38.627	-90.1994	High income	United States of America
SAMN06172500	ExDog28	dog gut	0.4282507733641143	11047289659	12475401500	47942860	49901606	291241	38.627	-90.1994	High income	United States of America
SAMN06172411	ExDog29	dog gut	0.4407612906935901	11451749320	12902940000	49522945	51611760	377553	38.627	-90.1994	High income	United States of America
SAMN06172407	ExDog3	dog gut	0.4568023172650569	10320535494	11616745250	44484416	46466981	354917	38.627	-90.1994	High income	United States of America
SAMN06172482	ExDog30	dog gut	0.4312411097935868	12363074818	13701937500	52994415	54807750	297765	38.627	-90.1994	High income	United States of America
SAMN06172425	ExDog31	dog gut	0.45588327811168	12314279879	13942761750	53429198	55771047	379095	38.627	-90.1994	High income	United States of America
SAMN06172449	ExDog32	dog gut	0.4382268670943503	15459362626	17272892750	66619684	69091571	268325	38.627	-90.1994	High income	United States of America
SAMN06172403	ExDog33	dog gut	0.4269667342613204	11035660184	12435110250	47835577	49740441	427073	38.627	-90.1994	High income	United States of America
SAMN06172454	ExDog34	dog gut	0.435260542612854	14568676214	16147723000	62250928	64590892	294115	38.627	-90.1994	High income	United States of America
SAMN06172453	ExDog35	dog gut	0.4390518124951221	10025006884	11178819000	42973195	44715276	382129	38.627	-90.1994	High income	United States of America
SAMN06172480	ExDog36	dog gut	0.4265679937739076	14973697893	16475697250	63811515	65902789	289407	38.627	-90.1994	High income	United States of America
SAMN06172423	ExDog37	dog gut	0.4055988996756231	10912974692	12059927000	46522611	48239708	233219	38.627	-90.1994	High income	United States of America
SAMN06172429	ExDog38	dog gut	0.4387472684629237	8045843768	8773706250	34103577	35094825	311224	38.627	-90.1994	High income	United States of America
SAMN06172512	ExDog39	dog gut	0.4360089788754062	11162718358	12321968000	47591203	49287872	339600	38.627	-90.1994	High income	United States of America
SAMN06172427	ExDog4	dog gut	0.4552510385885573	11192527948	12621281000	48251106	50485124	344759	38.627	-90.1994	High income	United States of America
SAMN06172421	ExDog40	dog gut	0.43888371274799937	12330946376	13666553250	52714181	54666213	383967	38.627	-90.1994	High income	United States of America
SAMN06172468	ExDog41	dog gut	0.4308916884585492	11145261955	12354325500	47660731	49417302	373155	38.627	-90.1994	High income	United States of America
SAMN06172498	ExDog42	dog gut	0.3979383894535419	18235263557	20264938500	78043071	81059754	323498	38.627	-90.1994	High income	United States of America
SAMN06172415	ExDog43	dog gut	0.444029157835108	11115060681	12516511000	47922191	50066044	318528	38.627	-90.1994	High income	United States of America
SAMN06172506	ExDog44	dog gut	0.4316684009640465	17310403493	19405311500	74509690	77621246	341965	38.627	-90.1994	High income	United States of America
SAMN06172470	ExDog45	dog gut	0.42878047109166856	11595792327	12977880250	49790671	51911521	291188	38.627	-90.1994	High income	United States of America
SAMN06172474	ExDog46	dog gut	0.4472070155624181	10260639731	11400555750	43930130	45602223	278319	38.627	-90.1994	High income	United States of America
SAMN06172518	ExDog47	dog gut	0.44647010765592815	12254368924	13827949250	52891109	55311797	336751	38.627	-90.1994	High income	United States of America
SAMN06172496	ExDog48	dog gut	0.4520486428351488	10363518660	11732843500	44872319	46931374	339001	38.627	-90.1994	High income	United States of America
SAMN06172484	ExDog49	dog gut	0.43565174514169785	8014532225	9087938500	34723895	36351754	358778	38.627	-90.1994	High income	United States of America
SAMN06172435	ExDog5	dog gut	0.4317921251794959	13106029209	14387915750	55803336	57551663	331032	38.627	-90.1994	High income	United States of America
SAMN06172522	ExDog50	dog gut	0.4324622479331503	14793831963	16507787000	63582960	66031148	375247	38.627	-90.1994	High income	United States of America
SAMN06172488	ExDog51	dog gut	0.4423653464776964	14999363543	16756148500	64473938	67024594	356263	38.627	-90.1994	High income	United States of America
SAMN06172486	ExDog52	dog gut	0.4563353803549786	8221915960	9244212750	35500953	36976851	295831	38.627	-90.1994	High income	United States of America
SAMN06172433	ExDog53	dog gut	0.43185824793572697	9358863869	10453244500	40179656	41812978	263087	38.627	-90.1994	High income	United States of America
SAMN06172508	ExDog54	dog gut	0.4434178531033522	12137049404	13413840250	51916248	53655361	402737	38.627	-90.1994	High income	United States of America
SAMN06172464	ExDog55	dog gut	0.4436328905320085	9996527869	11172225500	42965971	44688902	255101	38.627	-90.1994	High income	United States of America
SAMN06172458	ExDog56	dog gut	0.4384528976804506	9687551670	10765046500	41553979	43060186	309160	38.627	-90.1994	High income	United States of America
SAMN06172443	ExDog57	dog gut	0.4342204796023814	8029698770	8938886000	34543304	35755544	280252	38.627	-90.1994	High income	United States of America
SAMEA103957793	ExDog58	dog gut	0.3708554858112221	20520289780	22428809500	86865160	89715238	45423	38.627	-90.1994	High income	United States of America
SAMN06172510	ExDog59	dog gut	0.4322214733065345	14366019118	15776187500	61053660	63104750	300677	38.627	-90.1994	High income	United States of America
SAMN06172445	ExDog6	dog gut	0.4421602362206028	10694807551	11985648250	45958342	47942593	473496	38.627	-90.1994	High income	United States of America
SAMN06172451	ExDog60	dog gut	0.4260360550041513	10194377551	11322337250	43624329	45289349	355607	38.627	-90.1994	High income	United States of America
