"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"lnu(C)",99.7,"330/495",66.6666666666667,"109..438","GMGC10.000_379_615.UNKNOWN","1..330","Lincomycin","AY928180","ARO:3002837","lnuC","Perfect","ARO:0000046","lincomycin","ARO:0000017","lincosamide antibiotic","ResFinder",99.7,"Lincosamide","ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
"tetA(P)",92.01,"1264/1263",99.9208234362629,"1..1263","GMGC10.000_437_816.UNKNOWN","1..1263","Doxycycline, Tetracycline","AB001076","ARO:3000180","tetA(P)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",92.01,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(G)",99.82,"1088/1176",92.5170068027211,"1..1088","GMGC10.000_477_742.TETA","1..1088","Doxycycline, Tetracycline","AF133139","ARO:3000174","tet(G)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",99.82,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(44)",86.63,"1915/1923",99.479979199168,"1..1914","GMGC10.000_770_188.TETP","16..1929","Doxycycline, Tetracycline, Minocycline","NZ_ABDU01000081","ARO:3000556","","","","","","","ResFinder",86.63,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"msr(D)",92.54,"1167/1464",79.6448087431694,"285..1451","GMGC10.000_937_254.UNKNOWN","108..1273","Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S","AF227520","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ResFinder",92.54,"Macrolide, Streptogramin B","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"mef(A)",95.88,"1215/1218",99.7536945812808,"1..1215","GMGC10.001_032_111.UNKNOWN","19..1233","Erythromycin, Azithromycin","AF227520","ARO:3000616","mel","Perfect","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ResFinder",95.88,"Macrolide","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"msr(D)",92.09,"1163/1464",79.3715846994536,"289..1451","GMGC10.001_080_543.UNKNOWN","346..1507","Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S","AF227520","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ResFinder",92.09,"Macrolide, Streptogramin B","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","GMGC10.001_366_532.STRA","622..1425","Streptomycin","AF321551","ARO:3002639","APH(3'')-Ib","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ResFinder",99.88,"Aminoglycoside","ARO:3000127","APH(3'')","aph"
"msr(D)",92.56,"1451/1464",99.0437158469945,"1..1451","GMGC10.001_913_016.UNKNOWN","64..1513","Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S","AF227520","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ResFinder",92.56,"Macrolide, Streptogramin B","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"aac(3)-Ia",99.06,"534/534",100,"1..534","GMGC10.001_965_233.UNKNOWN","1..534","Gentamicin, Astromicin, Fortimicin","X15852","ARO:3002528","AAC(3)-Ia","Strict","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.06,"Aminoglycoside","ARO:3000322","AAC(3)","aac"
