"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","ARO","V17","V18","V19","V20","V21","V22","ARG.class","gene","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.000_437_816.UNKNOWN",1,1263,"+","(Tet)tetA-P","1-1263/1263","===============","0/0",100,91.69,"argannot","L20800:1063-2325","(Tet)tetA-P",NA,"ARO:3000180","tetA(P)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tetA-P","ABRicate-ARGANNOT",91.69,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.000_477_742.TETA",1,1080,"+","(Tet)tetG","1-1080/1176","==============.","0/0",91.84,92.5,"argannot","AF133140:757-1932","(Tet)tetG",NA,"ARO:3000174","tet(G)","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tetG","ABRicate-ARGANNOT",92.5,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.000_770_188.TETP",16,1929,"+","(Tet)tet(44)","1-1914/1923","===============","0/0",99.53,86.36,"argannot","FN594949:25245-27167","(Tet)tet(44)",NA,"ARO:3000556","tet(44)","Perfect","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","Tet","tet(44)","ABRicate-ARGANNOT",86.36,"ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"GMGC10.001_032_111.UNKNOWN",19,1236,"+","(MLS)mef(A)","1-1218/1218","===============","0/0",100,95.81,"argannot","U70055:314-1531","(MLS)mef(A)",NA,"ARO:3000616","mel","Perfect","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","MLS","mef(A)","ABRicate-ARGANNOT",95.81,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.001_366_532.STRA",622,1425,"+","(AGly)strA","1-804/804","===============","0/0",100,100,"argannot","AB366441:22458-23261","(AGly)strA",NA,"ARO:3002639","APH(3'')-Ib","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AGly","strA","ABRicate-ARGANNOT",100,"ARO:3000127","APH(3'')","aph"
"GMGC10.001_760_058.UNKNOWN",161,1266,"+","(MLS)Mef(En2)","101-1206/1206",".==============","0/0",91.71,93.22,"argannot","NG_047980:101-1306","(MLS)Mef(En2)",NA,"ARO:3004659","Mef(En2)","Perfect","ARO:0000000,ARO:0000046","macrolide antibiotic,lincomycin","ARO:0000000,ARO:0000017","macrolide antibiotic,lincosamide antibiotic","MLS","Mef(En2)","ABRicate-ARGANNOT",93.22,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.001_913_016.UNKNOWN",64,1514,"+","(MLS)msr(D)","1-1451/1464","===============","0/0",99.11,92.14,"argannot","AF274302:2462-3925","(MLS)msr(D)",NA,"ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","MLS","msr(D)","ABRicate-ARGANNOT",92.14,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.001_965_233.UNKNOWN",1,534,"+","(AGly)aac3-I","1-534/534","===============","0/0",100,99.06,"argannot","X15852:1250-1783","(AGly)aac3-I",NA,"ARO:3002528","AAC(3)-Ia","Strict","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac3-I","ABRicate-ARGANNOT",99.06,"ARO:3000322","AAC(3)","aac"
"GMGC10.001_968_355.AACC",24,825,"+","(AGly)aac(3)-IIIc","39-840/840","========/======","2/2",95.36,84.93,"argannot","L06161:106-945","(AGly)aac(3)-IIIc",NA,"ARO:3002538","AAC(3)-IIIc","Perfect","ARO:3004015","gentamicin A","ARO:0000016","aminoglycoside antibiotic","AGly","aac(3)-IIIc","ABRicate-ARGANNOT",84.93,"ARO:3000322","AAC(3)","aac"
"GMGC10.001_983_519.AADA",502,1347,"+","(AGly)aadA6","1-846/846","===============","0/0",100,100,"argannot","AF140629:61-906","(AGly)aadA6",NA,"ARO:3002606","aadA6","Perfect","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aadA6","ABRicate-ARGANNOT",100,"ARO:3004275","ANT(3'')","ant"
"GMGC10.001_990_215.UNKNOWN",1,897,"+","(Bla)VEB-14","1-897/897","===============","0/0",100,100,"argannot","NG_050322:1-897","(Bla)VEB-14",NA,"ARO:3006211","VEB-14","Perfect","ARO:0000004,ARO:0000032","monobactam,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","VEB-14","ABRicate-ARGANNOT",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.001_997_366.BLA",28,936,"+","(Bla)blaAER-1","7-915/915","===============","0/0",99.34,83.72,"argannot","U14748:325-1239","(Bla)blaAER-1",NA,"ARO:3002481","AER-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","Bla","blaAER-1","ABRicate-ARGANNOT",83.72,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.002_004_514.AADA",505,1293,"+","(AGly)aadA4","1-789/789","===============","0/0",100,99.62,"argannot","AY138986:1-798","(AGly)aadA4",NA,"ARO:3002604","aadA4","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aadA4","ABRicate-ARGANNOT",99.62,"ARO:3004275","ANT(3'')","ant"
