"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","gene","drug","ARO","V17","V18","V19","V20","V21","V22","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.000_437_816.UNKNOWN",1,1263,"+","tetA(P)_1","1-1263/1263","===============","0/0",100,91.92,"resfinder","AB054980","tetA(P)","Doxycycline;Tetracycline","ARO:3000180","tetA(P)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",91.92,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.000_477_742.TETA",1,1088,"+","tet(G)_1","1-1088/1176","==============.","0/0",92.52,99.82,"resfinder","AF133139","tet(G)","Doxycycline;Tetracycline","ARO:3000174","tet(G)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",99.82,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.000_770_188.TETP",16,1929,"+","tet(44)_1","1-1914/1923","===============","0/0",99.53,86.62,"resfinder","NZ_ABDU01000081","tet(44)","Doxycycline;Tetracycline;Minocycline","ARO:3000556","","","","","","","ABRicate-ResFinder",86.62,"ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"GMGC10.001_032_111.UNKNOWN",19,1236,"+","mef(A)_3","1-1218/1218","===============","0/0",100,95.81,"resfinder","AF227520","mef(A)","Erythromycin;Azithromycin","ARO:3000616","mel","Perfect","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ABRicate-ResFinder",95.81,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.001_366_532.STRA",623,1425,"+","aph(3'')-Ib_2","2-804/804","===============","0/0",99.88,100,"resfinder","AF024602","aph(3'')-Ib","Streptomycin","ARO:3002639","APH(3'')-Ib","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ABRicate-ResFinder",100,"ARO:3000127","APH(3'')","aph"
"GMGC10.001_913_016.UNKNOWN",64,1516,"+","msr(D)_3","1-1454/1464","========/======","1/1",99.25,92.5,"resfinder","AF227520","msr(D)","Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ABRicate-ResFinder",92.5,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.001_965_233.UNKNOWN",1,534,"+","aac(3)-Ia_1","1-534/534","===============","0/0",100,99.06,"resfinder","X15852","aac(3)-Ia","Gentamicin","ARO:3002528","AAC(3)-Ia","Strict","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",99.06,"ARO:3000322","AAC(3)","aac"
"GMGC10.001_968_355.AACC",13,825,"+","aac(3)-IIIb_2","7-819/819","===============","0/0",99.27,85.49,"resfinder","LLLC01000048","aac(3)-IIIb","Gentamicin;Tobramycin","ARO:3002537","AAC(3)-IIIb","Perfect","ARO:0000005,ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3000657,ARO:3000658,ARO:3007379,ARO:3007382","neomycin,dibekacin,sisomicin,kanamycin A,tobramycin,paromomycin,lividomycin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",85.49,"ARO:3000322","AAC(3)","aac"
"GMGC10.001_983_519.AADA",502,1347,"+","aadA6_1","1-846/846","===============","0/0",100,100,"resfinder","AF140629","aadA6","Streptomycin","ARO:3002606","aadA6","Perfect","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",100,"ARO:3004275","ANT(3'')","ant"
"GMGC10.001_990_215.UNKNOWN",1,897,"+","blaVEB-1_1","1-900/900","========/======","1/3",99.67,99.67,"resfinder","HM370393","blaVEB-1","","ARO:3002378","VEB-9","Perfect","ARO:0000004,ARO:0000032","monobactam,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",99.67,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
