"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","gene","ARG.class","ARO","V17","V18","V19","V20","V21","V22","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.000_437_816.UNKNOWN",1,1263,"+","tetA(P)","1-1263/1263","===============","0/0",100,99.84,"ncbi","NG_048316.1","tetracycline efflux MFS transporter TetA(P)","TETRACYCLINE","ARO:3000180","tetA(P)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",99.84,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.000_477_742.TETA",1,1088,"+","tet(G)","1-1088/1176","==============.","0/0",92.52,99.82,"ncbi","NG_048190.1","tetracycline efflux MFS transporter Tet(G)","TETRACYCLINE","ARO:3000174","tet(G)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",99.82,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.000_770_188.TETP",16,1929,"+","tet(44)","1-1914/1923","===============","0/0",99.53,86.62,"ncbi","NG_048145.1","tetracycline resistance ribosomal protection protein Tet(44)","TETRACYCLINE","ARO:3000556","tet(44)","Strict","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ABRicate-NCBI",86.62,"ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"GMGC10.001_032_111.UNKNOWN",19,1245,"+","mef(A)","1-1227/1227","===============","0/0",100,97.72,"ncbi","NG_047970.1","macrolide efflux MFS transporter Mef(A)","MACROLIDE","ARO:3000616","mel","Loose","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ABRicate-NCBI",97.72,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.001_366_532.STRA",598,1425,"+","aph(3'')-Ib","1-828/828","===============","0/0",100,99.88,"ncbi","NG_056002.2","aminoglycoside O-phosphotransferase APH(3'')-Ib","STREPTOMYCIN","ARO:3002639","APH(3'')-Ib","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ABRicate-NCBI",99.88,"ARO:3000127","APH(3'')","aph"
"GMGC10.001_760_058.UNKNOWN",161,1266,"+","mef(En2)","101-1206/1206",".==============","0/0",91.71,93.22,"ncbi","NG_047980.1","macrolide efflux MFS transporter Mef(En2)","MACROLIDE","ARO:3004659","Mef(En2)","Perfect","ARO:0000000,ARO:0000046","macrolide antibiotic,lincomycin","ARO:0000000,ARO:0000017","macrolide antibiotic,lincosamide antibiotic","ABRicate-NCBI",93.22,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.001_913_016.UNKNOWN",64,1516,"+","msr(D)","1-1454/1464","========/======","1/1",99.25,92.5,"ncbi","NG_048005.1","ABC-F type ribosomal protection protein Msr(D)","MACROLIDE","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ABRicate-NCBI",92.5,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.001_965_233.UNKNOWN",70,534,"+","aac(3)-Ia","1-465/465","===============","0/0",100,100,"ncbi","NG_047234.1","aminoglycoside N-acetyltransferase AAC(3)-Ia","GENTAMICIN","ARO:3002528","AAC(3)-Ia","Perfect","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3000322","AAC(3)","aac"
"GMGC10.001_968_355.AACC",13,825,"+","aac(3)-IIIb","7-819/819","===============","0/0",99.27,85.49,"ncbi","NG_051746.1","aminoglycoside N-acetyltransferase AAC(3)-IIIb","GENTAMICIN","ARO:3002537","AAC(3)-IIIb","Perfect","ARO:0000005,ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3000657,ARO:3000658,ARO:3007379,ARO:3007382","neomycin,dibekacin,sisomicin,kanamycin A,tobramycin,paromomycin,lividomycin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",85.49,"ARO:3000322","AAC(3)","aac"
"GMGC10.001_983_519.AADA",502,1347,"+","aadA6","1-846/846","===============","0/0",100,100,"ncbi","NG_047359.1","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6","STREPTOMYCIN","ARO:3002619","aadA22","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3004275","ANT(3'')","ant"
