"Protein.id","query","Start","Stop","Strand","Element.symbol","Element.name","Scope","Type","Subtype","ARG.class","ARG.subclass","Method","Target.length","Reference.sequence.length","X..Coverage.of.reference","X..Identity.to.reference","Alignment.length","Closest.reference.accession","Closest.reference.name","HMM.accession","HMM.description","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","parent","parent_description","geneclass_argcompare"
NA,"GMGC10.000_309_883.FOLA",1,300,"+","dfrF","trimethoprim-resistant dihydrofolate reductase DfrF","core","AMR","AMR","TRIMETHOPRIM","TRIMETHOPRIM","PARTIAL_CONTIG_ENDX",100,164,60.98,98,100,"WP_002322211.1","trimethoprim-resistant dihydrofolate reductase DfrF",NA,NA,"ARO:3002867","dfrF","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","AMRFinderPlus-nt",98,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
NA,"GMGC10.000_379_615.UNKNOWN",1,330,"-","lnu(C)","lincosamide nucleotidyltransferase Lnu(C)","core","AMR","AMR","LINCOSAMIDE","LINCOSAMIDE","PARTIAL_CONTIG_ENDX",110,164,67.07,99.09,110,"WP_063851341.1","lincosamide nucleotidyltransferase Lnu(C)",NA,NA,"ARO:3002837","lnuC","Perfect","ARO:0000046","lincomycin","ARO:0000017","lincosamide antibiotic","AMRFinderPlus-nt",99.09,"ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
NA,"GMGC10.000_437_816.UNKNOWN",1,1260,"+","tetA(P)","tetracycline efflux MFS transporter TetA(P)","core","AMR","AMR","TETRACYCLINE","TETRACYCLINE","BLASTX",420,420,100,99.76,420,"WP_006440994.1","tetracycline efflux MFS transporter TetA(P)",NA,NA,"ARO:3000180","tetA(P)","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","AMRFinderPlus-nt",99.76,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.000_477_742.TETA",1,1089,"+","tet(G)","tetracycline efflux MFS transporter Tet(G)","core","AMR","AMR","TETRACYCLINE","TETRACYCLINE","BLASTX",363,391,92.84,99.45,363,"WP_032489471.1","tetracycline efflux MFS transporter Tet(G)",NA,NA,"ARO:3000174","tet(G)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","AMRFinderPlus-nt",99.45,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.000_554_273.UNKNOWN",1,486,"+","cfxA","CfxA family broad-spectrum class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIALX",162,321,50.47,98.77,162,"WP_004339683.1","CfxA family broad-spectrum class A beta-lactamase",NA,NA,"ARO:3003002","CfxA2","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",98.77,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.000_643_115.YBXI",1,411,"+","blaOXA","OXA-85 family oxacillin-hydrolyzing class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIAL_CONTIG_ENDX",137,261,52.49,99.27,137,"WP_032835180.1","oxacillin-hydrolyzing class D beta-lactamase OXA-85",NA,NA,"ARO:3001780","OXA-85","Strict","ARO:0000056","oxacillin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",99.27,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.000_937_254.UNKNOWN",109,1278,"+","msr","Msr family ABC-F type ribosomal protection protein","core","AMR","AMR","MACROLIDE","MACROLIDE","PARTIALX",390,487,80.08,91.28,390,"WP_000420313.1","ABC-F type ribosomal protection protein Msr(D)",NA,NA,"ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",91.28,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
NA,"GMGC10.001_032_111.UNKNOWN",19,1242,"+","mef(A)","macrolide efflux MFS transporter Mef(A)","core","AMR","AMR","MACROLIDE","AZITHROMYCIN/ERYTHROMYCIN","BLASTX",408,408,100,99.51,408,"WP_012102963.1","macrolide efflux MFS transporter Mef(A)",NA,NA,"ARO:3000616","mel","Loose","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",99.51,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
NA,"GMGC10.001_080_543.UNKNOWN",346,1512,"+","msr","Msr family ABC-F type ribosomal protection protein","core","AMR","AMR","MACROLIDE","MACROLIDE","PARTIALX",389,487,79.88,91,389,"WP_000420317.1","ABC-F type ribosomal protection protein Msr(D)",NA,NA,"ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",91,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
NA,"GMGC10.001_123_229.UNKNOWN",1,291,"+","lnu(AN2)","lincosamide nucleotidyltransferase Lnu(AN2)","core","AMR","AMR","LINCOSAMIDE","LINCOSAMIDE","PARTIAL_CONTIG_ENDX",97,170,57.06,93.81,97,"WP_004308783.1","lincosamide nucleotidyltransferase Lnu(AN2)",NA,NA,"ARO:3002835","lnuA","Loose","ARO:0000046,ARO:3007169","lincomycin,pirlimycin","ARO:0000017,ARO:0000017","lincosamide antibiotic,lincosamide antibiotic","AMRFinderPlus-nt",93.81,"ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
